iter	RMSE
0	159.1312689
1	151.6994888
2	144.9355534
3	138.5720931
4	132.6383956
5	127.2619123
6	122.2394651
7	117.8012698
8	113.4588682
9	109.6400863
10	106.2191732
11	103.0234838
12	99.78188312
13	96.81720042
14	94.20657729
15	91.74558022
16	89.2762266
17	87.05724874
18	84.94577621
19	82.54671235
20	80.56556277
21	78.99424262
22	77.35746576
23	75.89717243
24	74.42939641
25	73.02618086
26	71.78756077
27	70.49221557
28	69.57829958
29	68.74239299
30	67.48311621
31	66.47590202
32	65.58016116
33	64.89351779
34	64.26957887
35	63.5513037
36	62.85228149
37	62.11279848
38	61.52858907
39	60.56271377
40	59.66557117
41	59.21562173
42	58.75381958
43	57.960563
44	57.31229537
45	56.73947033
46	56.47389686
47	55.90764233
48	55.55059611
49	55.26198765
50	54.74056716
51	54.27536323
52	53.96576475
53	53.72001855
54	53.42704936
55	53.01702655
56	52.759823
57	52.55407829
58	52.34069386
59	52.15636791
60	51.95867182
61	51.75575347
62	51.60012698
63	51.45417939
64	51.26555155
65	51.09483754
66	50.97379514
67	50.80472483
68	50.39843241
69	50.26053518
70	50.072489
71	49.89174782
72	49.77736272
73	49.44593097
74	49.32847722
75	49.17496608
76	49.01618359
77	48.89470917
78	48.75470531
79	48.66938114
80	48.58185535
81	48.46883442
82	48.05676472
83	47.93842448
84	47.68707682
85	47.53009844
86	47.4418945
87	47.22841863
88	47.00455169
89	46.90871082
90	46.82650446
91	46.55656868
92	46.48652059
93	46.34167914
94	46.27568946
95	46.17840328
96	45.9824216
97	45.90192476
98	45.64841463
99	45.50283756
100	45.32458673
101	45.16045154
102	45.07192959
103	44.99786184
104	44.91550742
105	44.72833576
106	44.52222852
107	44.46074751
108	44.37414895
109	44.24600196
110	44.11095215
111	43.93136545
112	43.83515284
113	43.71658516
114	43.61814489
115	43.44738054
116	43.31462752
117	43.27907057
118	43.19474522
119	43.13981724
120	43.08445061
121	42.97632595
122	42.88866594
123	42.7705689
124	42.65027821
125	42.58074361
126	42.50693581
127	42.46069575
128	42.38926958
129	42.33027464
130	42.22401276
131	42.17136377
132	42.10552848
133	42.04288413
134	41.97752703
135	41.89714922
136	41.82769756
137	41.74541361
138	41.66544199
139	41.62977378
140	41.57504674
141	41.52065687
142	41.4687393
143	41.4191631
144	41.34539201
145	41.29795967
146	41.22006531
147	41.17351605
148	41.11708446
149	41.08341681
150	40.99210121
151	40.9442283
152	40.89763345
153	40.80404417
154	40.73344208
155	40.68507959
156	40.62182015
157	40.56104227
158	40.49023227
159	40.44285556
160	40.38845868
161	40.31879172
162	40.26898492
163	40.21005993
164	40.16077352
165	40.1067202
166	40.05065729
167	39.99825676
168	39.93420323
169	39.89360934
170	39.86013326
171	39.80851653
172	39.76060558
173	39.68292423
174	39.64533797
175	39.60531288
176	39.55425964
177	39.5305533
178	39.46897845
179	39.42972985
180	39.3843407
181	39.33410645
182	39.2918939
183	39.25216386
184	39.1959714
185	39.15801166
186	39.10807312
187	39.06756198
188	39.01575546
189	38.96901273
190	38.94111574
191	38.88925989
192	38.79338622
193	38.75696333
194	38.70670597
195	38.66579828
196	38.61972463
197	38.59417228
198	38.5592325
199	38.49516686
200	38.45632438
201	38.41427524
202	38.36757491
203	38.32263863
204	38.28086347
205	38.23077039
