iter	Passed	Remaining
0	50	50729
1	54	27428
2	59	19896
3	64	16119
4	68	13585
5	74	12263
6	77	10929
7	79	9859
8	82	9097
9	85	8419
10	87	7874
11	90	7414
12	92	7028
13	94	6677
14	98	6480
15	101	6242
16	104	6036
17	106	5833
18	109	5669
19	112	5506
20	115	5383
21	118	5290
22	122	5188
23	123	5031
24	125	4882
25	127	4757
26	128	4628
27	130	4526
28	131	4406
29	133	4309
30	134	4210
31	135	4111
32	137	4027
33	138	3948
34	140	3865
35	141	3790
36	144	3762
37	146	3698
38	147	3631
39	149	3583
40	151	3536
41	153	3511
42	156	3485
43	159	3470
44	162	3451
45	165	3431
46	166	3381
47	169	3364
48	171	3324
49	172	3277
50	173	3237
51	175	3197
52	177	3171
53	179	3141
54	181	3113
55	182	3076
56	184	3044
57	185	3008
58	186	2972
59	187	2940
60	188	2907
61	190	2880
62	191	2851
63	193	2837
64	195	2809
65	196	2783
66	197	2755
67	201	2756
68	202	2733
69	204	2711
70	206	2706
71	208	2684
72	209	2661
73	211	2644
74	213	2629
75	215	2615
76	216	2598
77	218	2580
78	220	2566
79	221	2552
80	223	2539
81	225	2524
82	227	2508
83	228	2496
84	230	2480
85	231	2463
86	233	2446
87	234	2430
88	235	2413
89	237	2396
90	238	2380
91	239	2364
92	240	2349
93	242	2338
94	243	2322
95	244	2306
96	246	2291
97	247	2279
98	249	2267
99	250	2252
100	251	2237
101	252	2223
102	253	2211
103	255	2200
104	256	2187
105	257	2173
106	259	2166
107	261	2156
108	262	2144
109	263	2135
110	266	2130
111	267	2121
112	268	2109
113	270	2099
114	271	2092
115	273	2081
116	274	2071
117	276	2064
118	277	2054
119	278	2044
120	280	2036
121	282	2034
122	284	2026
123	285	2020
124	287	2012
125	288	2002
126	290	1995
127	292	1995
128	294	1986
129	295	1977
130	298	1979
131	300	1977
132	301	1968
133	303	1959
134	304	1951
135	305	1942
136	307	1934
137	308	1925
138	309	1918
139	311	1912
140	312	1904
141	313	1895
142	316	1894
143	317	1890
144	319	1881
145	320	1874
146	321	1868
147	323	1862
148	324	1855
149	326	1850
150	328	1844
151	329	1838
152	330	1830
153	331	1823
154	333	1819
155	335	1814
156	336	1807
157	337	1800
158	339	1795
159	340	1788
160	341	1781
161	343	1774
162	344	1769
163	346	1768
164	348	1763
165	350	1763
166	352	1756
167	353	1749
168	354	1744
169	356	1739
170	357	1733
171	360	1735
172	361	1730
173	363	1725
174	364	1720
175	366	1714
176	367	1710
177	368	1703
178	370	1698
179	371	1693
180	373	1688
181	374	1683
182	375	1677
183	377	1674
184	379	1669
185	380	1664
186	382	1660
187	383	1656
188	384	1651
189	386	1646
190	388	1644
191	389	1639
192	391	1635
193	392	1629
194	393	1626
195	395	1620
196	396	1615
197	397	1610
198	399	1607
199	400	1601
200	401	1596
201	403	1592
202	404	1588
203	407	1588
204	408	1585
205	410	1581
206	411	1576
207	412	1571
208	414	1568
209	415	1564
210	417	1559
211	418	1554
212	419	1551
213	421	1548
214	422	1543
215	424	1539
216	425	1536
217	427	1532
218	428	1527
219	429	1524
220	431	1521
221	432	1516
222	434	1512
223	435	1508
224	436	1504
225	438	1500
226	439	1495
227	440	1492
228	442	1489
229	443	1485
230	444	1481
231	446	1478
232	447	1474
233	449	1470
234	450	1466
235	452	1464
236	453	1460
237	454	1456
238	456	1453
239	458	1450
240	460	1451
241	463	1451
242	464	1446
243	465	1443
244	467	1439
245	468	1436
246	470	1432
247	471	1428
248	472	1426
249	474	1422
250	475	1418
251	476	1415
252	478	1413
253	479	1409
254	481	1405
255	482	1403
256	484	1399
257	485	1396
258	486	1393
259	488	1390
260	489	1387
261	491	1383
262	492	1379
263	493	1376
264	495	1373
265	496	1370
266	497	1366
267	498	1362
268	500	1359
269	502	1357
270	503	1354
271	505	1353
272	509	1355
273	510	1353
274	512	1350
275	515	1352
276	518	1352
277	520	1351
278	521	1347
279	524	1348
280	525	1345
281	527	1343
282	529	1340
283	530	1338
284	532	1334
285	533	1331
286	534	1328
287	536	1325
288	537	1322
289	538	1319
290	540	1315
291	541	1312
292	542	1309
293	544	1306
294	545	1302
295	546	1299
296	547	1296
297	549	1293
298	550	1290
299	551	1286
300	552	1283
301	554	1281
302	555	1278
303	557	1275
304	558	1272
305	559	1269
306	560	1266
307	562	1263
308	563	1260
309	565	1257
310	566	1254
311	567	1251
312	569	1249
313	570	1246
314	572	1243
315	573	1241
316	574	1238
317	576	1235
318	577	1233
319	579	1231
320	580	1228
321	581	1225
322	583	1221
323	584	1219
324	585	1216
325	586	1213
326	587	1210
327	589	1207
328	590	1204
329	592	1202
330	593	1199
331	594	1196
332	596	1194
333	597	1191
334	598	1188
335	600	1186
336	602	1186
337	604	1183
338	606	1181
339	607	1178
340	608	1175
341	609	1173
342	611	1170
343	612	1168
344	613	1165
345	614	1162
346	616	1160
347	618	1158
348	619	1155
349	621	1154
350	623	1152
351	624	1149
352	625	1146
353	627	1144
354	629	1142
355	630	1140
356	631	1137
357	632	1134
358	635	1133
359	636	1131
360	637	1128
361	638	1125
362	640	1124
363	642	1123
364	644	1120
365	645	1117
366	647	1117
367	648	1114
368	650	1111
369	651	1108
370	652	1106
371	654	1105
372	656	1103
373	657	1100
374	658	1097
375	661	1097
376	662	1094
377	663	1092
378	664	1089
379	667	1088
380	668	1086
381	669	1083
382	671	1081
383	673	1081
384	677	1081
385	678	1078
386	679	1076
387	681	1074
388	682	1072
389	684	1070
390	687	1071
391	690	1070
392	692	1070
393	695	1069
394	698	1070
395	701	1070
396	702	1067
397	704	1064
398	705	1062
399	707	1061
400	708	1058
401	709	1055
402	710	1053
403	712	1051
404	714	1049
405	715	1047
406	717	1044
407	718	1042
408	720	1041
409	721	1038
410	722	1035
